view_key,view_name,config_name,default_value,width,visible
primary,,primary, ,25,
secondary,,secondary, ,25,
protocol,,protocol, cleartext,25,
server-hostname,,server-hostname, ,25,
ssl-certificate,,ssl-certificate, Fortinet_Factory,25,
timeout,,timeout, 5,25,
retry,,retry, 2,25,
dns-cache-limit,,dns-cache-limit, 5000,25,
dns-cache-ttl,,dns-cache-ttl, 1800,25,
source-ip,,source-ip, ,25,
cache-notfound-responses,,cache-notfound-responses, disable,25,
interface-select-method,,interface-select-method, auto,25,
server-select-method,,server-select-method, least-rtt,25,
alt-primary,,alt-primary, 0.0.0.0,25,
alt-secondary,,alt-secondary, 0.0.0.0,25,
log,,log, disable,25,
fqdn-cache-ttl,,fqdn-cache-ttl, 0,25,
fqdn-min-refresh,,fqdn-min-refresh, 60,25,
