view_key,view_name,config_name,default_value,width,visible
management-vdom,,management-vdom,root,25,
vdom-mode,,vdom-mode,no-vdom,25,
timezone,,timezone,00,25,
virtual-switch-vlan,,virtual-switch-vlan,enable,25,
wireless-controller,,wireless-controller,enable,25,
switch-controller,,switch-controller,enable,25,
gui-display-hostname,,gui-display-hostname,disable,25,
admin-scp,,admin-scp,disable,25,
admintimeout,,admintimeout,5,25,
gui-auto-upgrade-setup-warning,,gui-auto-upgrade-setup-warning,enable,25,
gui-forticare-registration-setup-warning,,gui-forticare-registration-setup-warning,enable,25,
admin-reset-button,,admin-reset-button,enable,25,
daily-restart,,daily-restart,disable,25,
restart-time,,restart-time,00:00,25,
