view_key,view_name,config_name,default_value,width,visible
eid,,eid,,35,
associated-interface,,associated-interface,,15,
type,,type,ipmask,10,
address,,address,0.0.0.0/0.0.0.0,35,
allow-routing,,allow-routing,disable,10,
comment,,comment,,25,
cache-ttl,,cache-ttl,0,8,
remark,,remark,,15,
fabric-object,,fabric-object,disable,,
start-ip,,start-ip,,,False
end-ip,,end-ip,,,False
fqdn,,fqdn,,,False
wildcard,,wildcard,,,False
country,,country,,,False
subnet,,subnet,,,False
sub-type,,sub-type,,,False
macaddr,,macaddr,,,False
