view_key,view_name,config_name,default_value,width,visible
eid,,eid,,7,
status,,status,enable,6,
name,,name,,25,
srcintf,,srcintf,,15,
dstintf,,dstintf,,15,
srcaddr,,srcaddr,,25,
dstaddr,,dstaddr,,25,
schedule,,schedule,,8,
service,,service,,15,
action,,action,deny,7,
nat,,nat,disable,7,
ippool,,ippool,disable,,False
poolname,,poolname,,25,
match-vip,,match-vip,disable,,False
logtraffic,,logtraffic,utm,8,
internet-service,,internet-service,disable,,False
internet-service-name,,internet-service-name,,,False
internet-service-src,,internet-service-src,disable,,False
internet-service-src-name,,internet-service-src-name,,,False
utm-status,,utm-status,disable,,False
av-profile,,av-profile,,15,
webfilter-profile,,webfilter-profile,,15,
dnsfilter-profile,,dnsfilter-profile,,15,
emailfilter-profile,,emailfilter-profile,,15,
email-collect,,email-collect,,15,False
dlp-sensor,,dlp-sensor,,15,
ips-sensor,,ips-sensor,,15,
application-list,,application-list,,15,
inspection-mode,,inspection-mode,flow,15,
ssl-ssh-profile,,ssl-ssh-profile,,15,
comments,,comments,,30,
