view_key,view_name,config_name,default_value,width,visible
eid,,eid,,25,
type,,type,static-nat,25,
extip,,extip,0.0.0.0,25,
extaddr,,extaddr,,25,
mapped-ip,,mapped-ip,,25,
mapped-addr,,mapped-addr,,25,
src-filter,,src-filter,,25,
service,,service,,,
arp-reply,,arp-reply,enable,,
nat-source-vip,,nat-source-vip,disable,,
portforward,,portforward,disable,,
protocol,,protocol,,,
extport,,extport,,,
mappedport,,mappedport,,,
portmapping,,portmapping,,,
comment,,comment,,,
remark,,remark,,,
